Kalimat,Formalitas
kan lu tau gw tuh susah kimia,0
kamu sudah tahu bahwa saya kesulitan dalam pelajaran kimia,1
tau sendiri susah kok lu mala maen ps kemaren,0
kamu tahu bahwa pelajaran itu susah tetapi mengapa kamu bermain kemarin,1
jadi anggepannya kita ngerjain semua soal latihan ya,0
Jadi kita mengajarkan semua soal latihan tersebut,1
jujur gw udh capek ngertiin bio,0
sejujurnya saya sudah lelah untuk memahami biologi,1
blm lagi itu laporan pertanyaannya gw kelupaan,0
terlebih lagi saya melupakan pertanyaan laporan tersebut,1
kyk lu lgi nolak permintaan bu sugi,0
seperti kamu sedang menolak permintaan ibu Sugi,1
setidaknya gw bisa bener angka depan,0
Setidaknya saya bisa benar pada angka bagian depan,1
kn gw nny bu guru,0
kan saya bertanya ibu guru,1
gmn bs makan analoginy spt ni,0
bagaimana bisa makan jika analoginya seperti ini,1
lu tau ga gua laper cuk,0
apakah kamu tahu bahwa saya laper,1
baru gw makan indomie soto sama nasi,0
saya baru saja makan indomie soto dengan nasi,1
bio gua udh kibar bendera putih,0
Saya sudah mengibarkan bendera putih untuk pelajaran Biologi,1
mat gua kibar bendera item,0
saya mengibarkan bendera hitam untuk pelajaran Matematika,1
gua tinggal itung kancing kalo gni caranya,0
Saya hanya tinggal menghitung kancing jika begini caranya,1
bisa dijitak mortal penggerus lu,0
kamu dapat dijitak dengan mortal penggerus,1
demi aapapun pas diajarin itu gua ga dikelas,0
Kita sedang diajarkan saya tidak berada di dalam kelas,1
gw di ajarin dan gw lgi cengo pas di ksh tau,0
saya diajarkan dan saya lagi bengong ketika diberitahukan ,1
depan gua masi buku bio,0
depan saya masih buku biologi,1
gw tau lu anak bio tpi bsk ada kimia juga,0
saya tahu anda anak biologi tetapi besok juga ada pelajaran kimia,1
sebelum gw bsk sengaja gk msk,0
Sebelum saya sengaja untuk tidak hadir besok,1
liat yg lebih kecil terus di puter,0
Lihatlah yang lebih kecil lalu diputar,1
yg hasilnya itu berarti sama,0
yang menghasilkan itu berarti sama,1
klo bener berarti beres itu,0
jika benar berarti sudah selesai,1
benci kali dia ama gua,0
sepertinya dia sangat membenci saya,1
gimana gua itung ph pake listrik,0
bagaimana saya menghitung pH menggunakan listrik,1
walaupun metodenya aga maksa tp gw dpt,0
meskipun metodenya terkesan memaksa tetapi saya mendapatkannya,1
kita ga diajarin ph penyepuhan susunan seri batere,0
kita tidak diajarkan pH penyepuhan dengan susunan seri baterai,1
lu suru gua bikin pake catetan orang,0
kamu menyuruh saya untuk membuat catatan dengan menggunakan catatan orang,1
kata kelas gua lu diajarin,0
menurut kelas saya kamu diajarkan ,1
jangan membabi buta deh cuk,0
kamu jangan membabi buta,1
mungkin ga full diajarinnya tp lmyn la,0
mungkin kamu tidak diajarkan secara keseluruhan tetapi cukup juga,1
dan dy ga blg bener apa salah,0
